,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-02 12:29:54+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],15,en,4311,246449,3,False,"“‘At the current stage, there’s no obvious internal force in the CCP to challenge Xi,’ Taiwan’s spy agency reported… https://t.co/xUU7OHKyzy",New York,0.06,0.102,0,140,4311,0,1,20,6.05
1,2022-05-02 12:21:53+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],"[{'screen_name': 'louiseelisabet', 'name': 'Louise Callaghan', 'id': 621823261, 'id_str': '621823261', 'indices': [3, 18]}]",0,en,4311,246449,193,False,RT @louiseelisabet: Last week I went to Transnistria and Chisinau to look at what might come next for Moldova. A few thoughts:,New York,0.0,0.0,0,126,4311,0,0,22,4.7727272727272725
2,2022-05-02 12:20:22+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],81,en,4311,246449,12,False,"“The moment the war stops, the escalation of sanctions will stop, but the trend towards lessening dependence on Rus… https://t.co/PHL25iMbDe",New York,0.0,0.239,0,140,4311,0,1,20,6.05
3,2022-05-02 12:17:27+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],162,en,4311,246449,38,False,It says a lot when Putin loses Italy. “Rome has pledged not to oppose a Russian energy embargo if the rest of the E… https://t.co/wDs8L69SkG,New York,0.083,0.091,0,140,4311,0,1,25,4.64
4,2022-05-02 11:54:11+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],57,en,4311,246449,16,False,"“Of the 5mn Ukrainians who fled Ukraine after Moscow launched its full-scale invasion on February 24, more than 1mn… https://t.co/Suhds52LN7",New York,0.073,0.0,0,140,4311,0,1,20,6.05
5,2022-05-02 10:55:27+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],"[{'screen_name': 'SamuelSokol', 'name': 'Sam Sokol', 'id': 80230154, 'id_str': '80230154', 'indices': [3, 15]}]",0,en,4311,246449,34,False,"RT @SamuelSokol: ""The use of the Holocaust of the Jewish people as a political tool must be stopped immediately,” Prime Minister Bennett de…",New York,0.0,0.083,0,140,4311,0,0,23,5.130434782608695
6,2022-05-02 00:30:53+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],"[{'screen_name': 'antontroian', 'name': 'Anton Troianovski', 'id': 76773876, 'id_str': '76773876', 'indices': [3, 15]}]",0,en,4311,246449,775,False,"RT @antontroian: Oleg Tinkov, who has spoken more forcefully against the war than any other major Russian business tycoon, tells the @nytim…",New York,0.0,0.157,1,140,4311,0,0,22,5.409090909090909
7,2022-05-01 22:56:46+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],234,en,4311,246449,43,False,How grossly irresponsible. How gross. https://t.co/IpxcDfux6t,New York,0.0,0.725,0,61,4311,0,1,6,9.333333333333334
8,2022-05-01 22:23:27+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],107,en,4311,246449,2,False,This Warriors vs Grizzlies game is WILD!,New York,0.0,0.0,0,40,4311,0,0,7,4.857142857142857
9,2022-05-01 20:22:52+00:00,Bianna Golodryga,20967,"@CNN Senior Global Affairs analyst, journalist, wife, mother, proud immigrant, ❤️ Houston, TX 🤘",[],[],2231,en,4311,246449,554,False,Sick sick sick…”Sergei Lavrov said the fact that Ukraine's President Volodymyr Zelenskyy is Jewish does not negate… https://t.co/TogeOXALk5,New York,0.0,0.292,1,139,4311,0,1,18,6.777777777777778
